Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET dashboard,19117,2625,3200,5335.605838353304,5.208799997490132,35255.658400001266,27917.95752471622,31.976276384149603,4.390737328471659,3200,3300,3500,3900,18000,22000,24000,26000,33000,35000,35000
GET,GET exams list,30966,4180,3200,5337.144305050689,5.2015000001119915,35389.206699997885,27992.71562358716,51.795646519410816,6.991726488766298,3200,3300,3500,3800,18000,22000,24000,26000,33000,35000,35000
GET,GET health,16181,0,8,1693.848756733195,4.6647999988636,28937.490200001776,2.0,27.065341223619015,0.0,8,11,14,17,67,19000,21000,22000,27000,29000,29000
GET,GET results list,3777,516,3200,5358.285558723861,5.684300002030795,35135.219299998425,27940.33042096902,6.317643767480936,0.8630935091395718,3200,3300,3500,3900,18000,22000,24000,26000,34000,35000,35000
GET,GET results list (detail),3873,534,3200,5407.617132713675,5.6488000009267125,35141.22390000193,27899.786212238574,6.478219304065042,0.8932014222490917,3200,3300,3500,4000,19000,22000,24000,26000,35000,35000,35000
POST,POST login-user,1000,129,7500,9266.791860299956,153.59019999959855,25632.905300000857,28468.241,1.6726618394177748,0.21577337728489296,7500,11000,13000,15000,19000,23000,24000,24000,26000,26000,26000
,Aggregated,74914,7984,3100,4606.98523193666,4.6647999988636,35389.206699997885,21926.704340977656,125.30578903814319,13.354532125911515,3100,3300,3400,3600,17000,22000,24000,25000,33000,35000,35000
