Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,7611,0,7,8.885935251620781,4.825899999559624,323.32080000014685,2.0,12.71981976198389,0.0,7,8,9,10,13,17,25,31,65,320,320
GET,GET /student/dashboard,11449,0,82,168.32385111363573,21.23589999973774,2937.0810000000347,32332.0,19.134044994738346,0.0,82,110,140,170,300,600,1400,1700,2400,2900,2900
GET,GET /student/exams,19517,0,82,166.36690460624243,21.18979999977455,2464.373799999521,32332.0,32.617622164582784,0.0,82,110,140,170,310,590,1300,1700,2300,2400,2500
GET,GET /student/results,3788,0,80,164.0053673706484,22.253600000112783,2466.700499999206,32332.0,6.330663153119824,0.0,80,110,140,170,290,590,1300,1700,2400,2500,2500
GET,GET /student/results (list),3928,0,83,173.17235544806738,24.05880000151228,2821.302600001218,32332.0,6.564636976096797,0.0,83,110,150,180,330,670,1400,1700,2400,2800,2800
POST,POST /auth/login-user (student login),500,0,710,798.0153707999921,175.46969999966677,2000.3633000014815,32657.0,0.8356207963463336,0.0,710,900,1100,1100,1400,1600,1800,2000,2000,2000,2000
,Aggregated,46793,0,69,148.36053535785527,4.825899999559624,2937.0810000000347,27076.91633363965,78.20240784686798,0.0,69,100,130,160,280,580,1200,1700,2300,2500,2900
