Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /student/exams,HTTPError('429 Client Error: TOO MANY REQUESTS for url: GET /student/exams'),9598,2026-06-15T12:12:08Z,2026-06-15T12:22:03Z
GET,GET /student/results (list),HTTPError('429 Client Error: TOO MANY REQUESTS for url: GET /student/results (list)'),1942,2026-06-15T12:12:09Z,2026-06-15T12:22:03Z
POST,POST /auth/demo-login,HTTPError('429 Client Error: TOO MANY REQUESTS for url: POST /auth/demo-login'),255,2026-06-15T12:12:12Z,2026-06-15T12:12:24Z
POST,POST /auth/login (login),HTTPError('429 Client Error: TOO MANY REQUESTS for url: POST /auth/login (login)'),495,2026-06-15T12:12:05Z,2026-06-15T12:12:24Z
GET,GET /student/results,HTTPError('429 Client Error: TOO MANY REQUESTS for url: GET /student/results'),2047,2026-06-15T12:12:08Z,2026-06-15T12:22:03Z
GET,GET /health,RemoteDisconnected('Remote end closed connection without response'),1,2026-06-15T12:19:40Z,2026-06-15T12:19:40Z
GET,GET /student/dashboard,HTTPError('429 Client Error: TOO MANY REQUESTS for url: GET /student/dashboard'),5650,2026-06-15T12:12:08Z,2026-06-15T12:22:03Z
